name,datetime,min,max,mean,count,sum,std,median,majority,minority,unique,histogram,valid_percent,masked_pixels,valid_pixels,percentile_2,percentile_98,date
World,2024-05,0.0,3.2603939548181415e-09,3.2184362813714174e-11,62463.0,2.010331854762626e-06,1.3179454045260513e-10,7.704121086742066e-13,0.0,1.633407059979468e-21,49189.0,"[[61251.0, 731.0, 214.0, 98.0, 77.0, 34.0, 28.0, 25.0, 3.0, 2.0], [0.0, 3.2603938993069903e-10, 6.520787798613981e-10, 9.781181420365215e-10, 1.3041575597227961e-09, 1.6301969774090708e-09, 1.956236284073043e-09, 2.2822757017593176e-09, 2.6083151194455922e-09, 2.934354537131867e-09, 3.2603939548181415e-09]]",24.1,196737.0,62463.0,0.0,3.2091482249363423e-10,2024-05-01
World,2024-04,0.0,3.1114191223480248e-09,2.910802848754557e-11,62465.0,1.8182330450144946e-06,1.4880146818081358e-10,1.9951728257808915e-13,0.0,4.488636731486232e-26,43473.0,"[[61145.0, 669.0, 237.0, 140.0, 103.0, 72.0, 48.0, 28.0, 18.0, 5.0], [0.0, 3.111419177859176e-10, 6.222838355718352e-10, 9.334257811133284e-10, 1.2445676711436704e-09, 1.5557095611740124e-09, 1.866851562226657e-09, 2.1779933412346963e-09, 2.4891353422873408e-09, 2.8002773433399852e-09, 3.1114191223480248e-09]]",24.1,196735.0,62465.0,0.0,3.275519022682971e-10,2024-04-01
World,2024-03,0.0,3.412419902204533e-09,2.4605709830760603e-11,62466.0,1.537020239084086e-06,1.4070623598131655e-10,7.28823570234332e-15,0.0,9.003446217269433e-37,37770.0,"[[61376.0, 590.0, 194.0, 118.0, 75.0, 41.0, 34.0, 29.0, 6.0, 3.0], [0.0, 3.4124197911822307e-10, 6.824839582364461e-10, 1.0237259928658204e-09, 1.3649679164728923e-09, 1.7062098400799641e-09, 2.047451985731641e-09, 2.3886939093387127e-09, 2.7299358329457846e-09, 3.0711777565528564e-09, 3.412419902204533e-09]]",24.1,196734.0,62466.0,0.0,2.9631103126703806e-10,2024-03-01
World,2024-02,0.0,3.5671694487149352e-09,2.2986388834023153e-11,62461.0,1.4357527788888547e-06,1.3469702100370103e-10,8.616021257053111e-16,0.0,1.2926943518416351e-33,37808.0,"[[61464.0, 554.0, 185.0, 105.0, 66.0, 39.0, 25.0, 13.0, 6.0, 4.0], [0.0, 3.567169337692633e-10, 7.134338675385266e-10, 1.070150856818941e-09, 1.4268677350770531e-09, 1.7835846133351652e-09, 2.140301713637882e-09, 2.497018591895994e-09, 2.8537354701541062e-09, 3.2104523484122183e-09, 3.5671694487149352e-09]]",24.1,196739.0,62461.0,0.0,2.7824231807471733e-10,2024-02-01
World,2024-01,0.0,3.1835842850824747e-09,2.142436054952679e-11,62462.0,1.3382084489421686e-06,1.2168735558680384e-10,5.2285010258238274e-15,0.0,1.4285308056028123e-33,47101.0,"[[61425.0, 554.0, 229.0, 118.0, 56.0, 31.0, 20.0, 18.0, 6.0, 5.0], [0.0, 3.1835842295713235e-10, 6.367168459142647e-10, 9.550752411158214e-10, 1.2734336918285294e-09, 1.5917921425412374e-09, 1.910150482231643e-09, 2.228508932944351e-09, 2.5468673836570588e-09, 2.8652258343697667e-09, 3.1835842850824747e-09]]",24.1,196738.0,62462.0,0.0,2.62034727249727e-10,2024-01-01
World,2023-12,0.0,3.2194256149864486e-09,2.168759963283584e-11,62461.0,1.3546291484090034e-06,1.1635106034149263e-10,7.283840956599785e-14,0.0,3.4135160667607494e-28,51049.0,"[[61519.0, 551.0, 176.0, 86.0, 47.0, 33.0, 22.0, 19.0, 6.0, 2.0], [0.0, 3.2194255594752974e-10, 6.438851118950595e-10, 9.658276400870136e-10, 1.287770223790119e-09, 1.6097128074932243e-09, 1.9316552801740272e-09, 2.253597974899435e-09, 2.575540447580238e-09, 2.897482920261041e-09, 3.2194256149864486e-09]]",24.1,196739.0,62461.0,0.0,2.446546576440056e-10,2023-12-01
World,2023-11,0.0,3.6674649983581276e-09,2.3502998158786426e-11,62461.0,1.4680207414130564e-06,1.1082482810758162e-10,5.468616553518102e-13,0.0,1.7333389221007753e-25,51518.0,"[[61836.0, 387.0, 107.0, 52.0, 32.0, 16.0, 13.0, 6.0, 7.0, 5.0], [0.0, 3.6674649428469763e-10, 7.334929885693953e-10, 1.1002394550985173e-09, 1.4669859771387905e-09, 1.8337324991790638e-09, 2.2004789101970346e-09, 2.5672255432596103e-09, 2.933971954277581e-09, 3.300718365295552e-09, 3.6674649983581276e-09]]",24.1,196739.0,62461.0,0.0,2.355969308531769e-10,2023-11-01
World,2023-10,0.0,3.325034469980892e-09,3.93946958388014e-11,62460.0,2.460592668285244e-06,1.2230655143919345e-10,1.695275213611791e-12,0.0,1.755798286688205e-21,51686.0,"[[60854.0, 1265.0, 152.0, 65.0, 73.0, 36.0, 9.0, 3.0, 1.0, 2.0], [0.0, 3.325034414469741e-10, 6.650068828939482e-10, 9.975102965853466e-10, 1.3300137657878963e-09, 1.662517234990446e-09, 1.9950205931706932e-09, 2.3275241733955454e-09, 2.6600275315757926e-09, 2.99253088975604e-09, 3.325034469980892e-09]]",24.1,196740.0,62460.0,0.0,3.8491518306038586e-10,2023-10-01
World,2023-09,0.0,2.6956381571352495e-09,5.335193398181559e-11,62463.0,3.332521828269819e-06,1.4904183454798813e-10,2.0954462123801143e-12,0.0,7.767410775041047e-20,51709.0,"[[59042.0, 2275.0, 746.0, 212.0, 65.0, 39.0, 18.0, 32.0, 27.0, 7.0], [0.0, 2.6956381571352495e-10, 5.391276314270499e-10, 8.086914471405748e-10, 1.0782552628540998e-09, 1.3478190785676247e-09, 1.6173828942811497e-09, 1.886946598972372e-09, 2.1565105257081996e-09, 2.426074452444027e-09, 2.6956381571352495e-09]]",24.1,196737.0,62463.0,0.0,5.163164340515891e-10,2023-09-01
World,2023-08,0.0,2.562108081249903e-09,6.199337571066721e-11,62465.0,3.8724160731362645e-06,1.67223899541469e-10,2.468665679863924e-12,0.0,1.0454583896867131e-20,51748.0,"[[58062.0, 2745.0, 955.0, 395.0, 127.0, 60.0, 50.0, 30.0, 25.0, 16.0], [0.0, 2.562108025738752e-10, 5.124216051477504e-10, 7.686323799660499e-10, 1.0248432102955007e-09, 1.2810540406249515e-09, 1.5372647599320999e-09, 1.7934755902615507e-09, 2.0496864205910015e-09, 2.3058972509204523e-09, 2.562108081249903e-09]]",24.1,196735.0,62465.0,0.0,5.974989947254983e-10,2023-08-01
