name,datetime,min,max,mean,count,sum,std,median,majority,minority,unique,histogram,valid_percent,masked_pixels,valid_pixels,percentile_2,percentile_98,date
World,2022-02,411.7429234611336,423.60419320175424,416.406682602872,207180.0,86271136.50166303,2.9647976426007334,416.95162144606,411.97039172402583,411.7429234611336,199058.0,"[[37851.0, 30550.0, 19173.0, 11220.0, 15304.0, 31151.0, 45205.0, 15819.0, 1524.0, 139.0], [411.7429234611336, 412.9290504351957, 414.11517740925774, 415.3013043833198, 416.48743135738187, 417.6735583314439, 418.859685305506, 420.04581227956805, 421.2319392536301, 422.4180662276922, 423.60419320175424]]",99.83,361.0,207936.0,411.97665632353164,420.67365939146833,2022-02-01
World,2022-02,411.69472751789726,424.27281732670957,416.41779470938275,207180.0,86273438.70788991,2.9805826777777966,416.9035164522939,420.009448134806,411.69472751789726,199322.0,"[[38310.0, 33153.0, 17172.0, 13116.0, 19112.0, 34806.0, 44108.0, 7919.0, 202.0, 38.0], [411.69472751789726, 412.9525364987785, 414.21034547965974, 415.468154460541, 416.7259634414222, 417.98377242230345, 419.2415814031846, 420.49939038406586, 421.7571993649471, 423.01500834582833, 424.27281732670957]]",99.83,361.0,207936.0,411.97432801709516,420.8285354252439,2022-02-01
World,2022-02,411.6778873139993,423.78917351015843,416.41606452123676,207180.0,86273080.24750984,3.001395509841836,416.87275006552227,420.5840923532378,411.6778873139993,199745.0,"[[37333.0, 30367.0, 20011.0, 11551.0, 16465.0, 32489.0, 39197.0, 18955.0, 1501.0, 67.0], [411.6778873139993, 412.8890159336152, 414.10014455323113, 415.31127317284705, 416.522401792463, 417.73353041207884, 418.94465903169475, 420.1557876513107, 421.3669162709266, 422.5780448905425, 423.78917351015843]]",99.83,361.0,207936.0,411.93167271558195,421.0575243632775,2022-02-01
World,2022-02,411.5767042094376,424.16544965817593,416.3818787489607,207180.0,86265997.63920967,2.972190554749055,416.9064050074667,411.94838922820054,411.5767042094376,199817.0,"[[37394.0, 30488.0, 20251.0, 12043.0, 19966.0, 34618.0, 41135.0, 11647.0, 357.0, 37.0], [411.5767042094376, 412.8355787543114, 414.09445329918526, 415.3533278440591, 416.61220238893293, 417.87107693380676, 419.1299514786806, 420.38882602355443, 421.64770056842826, 422.9065751133021, 424.16544965817593]]",99.83,361.0,207936.0,411.9225013710093,420.8477621432394,2022-02-01
World,2022-02,411.5492556593381,423.73022006358946,416.36663921649665,207180.0,86262840.31287378,2.9535968698815425,416.99056600918993,411.9387194805313,411.5492556593381,199736.0,"[[36385.0, 28986.0, 21309.0, 10923.0, 18453.0, 31567.0, 43260.0, 15646.0, 1346.0, 61.0], [411.5492556593381, 412.76735209976323, 413.9854485401884, 415.2035449806135, 416.42164142103866, 417.6397378614638, 418.8578343018889, 420.07593074231403, 421.29402718273917, 422.5121236231643, 423.73022006358946]]",99.83,361.0,207936.0,411.9387194805313,420.91242721653543,2022-02-01
World,2022-02,411.58315070788376,423.5446176608093,416.34216285048586,207180.0,86257769.29936366,2.930292262027414,416.9912681390997,411.96050005964935,411.58315070788376,199481.0,"[[36412.0, 29943.0, 19528.0, 11140.0, 18297.0, 32195.0, 43365.0, 13487.0, 3433.0, 136.0], [411.58315070788376, 412.7792974031763, 413.97544409846887, 415.1715907937614, 416.367737489054, 417.56388418434653, 418.7600308796391, 419.95617757493164, 421.1523242702242, 422.34847096551675, 423.5446176608093]]",99.83,361.0,207936.0,411.9430996070151,421.04496969841415,2022-02-01
World,2022-02,411.6664858884178,424.8313089192379,416.316387788658,207180.0,86252429.22205417,2.9027946291968494,416.9653475400992,412.20663115382195,411.6664858884178,199492.0,"[[40796.0, 33116.0, 15671.0, 13880.0, 31463.0, 45875.0, 21972.0, 4258.0, 880.0, 25.0], [411.6664858884178, 412.9829681914998, 414.29945049458183, 415.61593279766385, 416.93241510074586, 418.24889740382787, 419.5653797069099, 420.8818620099919, 422.1983443130739, 423.5148266161559, 424.8313089192379]]",99.83,361.0,207936.0,412.0142948522698,421.0885599604808,2022-02-01
World,2022-02,411.66732989950106,425.60589281492867,416.300630616784,207180.0,86249164.65118532,2.883057233890377,417.0099273324013,412.37602636101656,411.66732989950106,199339.0,"[[42563.0, 34522.0, 14772.0, 16842.0, 37256.0, 48005.0, 11496.0, 2389.0, 76.0, 15.0], [411.66732989950106, 413.0611861910438, 414.4550424825866, 415.84889877412934, 417.2427550656721, 418.63661135721486, 420.0304676487576, 421.4243239403004, 422.81818023184314, 424.2120365233859, 425.60589281492867]]",99.83,361.0,207936.0,412.04630906577216,421.0154838801827,2022-02-01
World,2022-02,411.6807940590661,426.1877729732077,416.2685530205922,207180.0,86242518.8148063,2.854952232017656,417.01010923134163,412.39003257942386,411.6807940590661,199040.0,"[[43899.0, 36119.0, 13961.0, 21969.0, 42089.0, 42664.0, 6491.0, 696.0, 26.0, 22.0], [411.6807940590661, 413.13149195048027, 414.58218984189443, 416.0328877333086, 417.48358562472276, 418.93428351613693, 420.38498140755104, 421.8356792989652, 423.28637719037937, 424.73707508179353, 426.1877729732077]]",99.83,361.0,207936.0,412.07910180673935,420.7115307508502,2022-02-01
World,2022-02,411.5792180527933,426.7167278158013,416.23808954533763,207180.0,86236207.39200304,2.8319440896252295,416.9770545559004,412.3954968235921,411.5792180527933,199018.0,"[[43934.0, 37324.0, 13882.0, 26157.0, 49482.0, 32891.0, 3965.0, 249.0, 40.0, 12.0], [411.5792180527933, 413.0929690290941, 414.6067200053949, 416.1204709816957, 417.6342219579965, 419.1479729342973, 420.6617239105981, 422.1754748868989, 423.6892258631997, 425.2029768395005, 426.7167278158013]]",99.83,361.0,207936.0,412.10407653125003,420.6794692436233,2022-02-01
